... if she/he stays with the first choice (door 1)?  In ____ out of 3 cases (Fill in the blank below),... if she/he switches to the last remaining door?  In ____ out of 3 cases (Fill in the blank below),What should the contestant therefore do?,What should the contestant therefore do? - Display Order,"After Monty Hall has opened a ""goat-door,"" what should you do?","After Monty Hall has opened a ""goat-door,"" what should you do? - Display Order","In the earlier scenario, how many doors were there in total (including either opened or unopened doors)?","Important



Please also tell us in writing what went on in your head when you made your decision.",Please also tell us if you were already familiar with this game:,Please also tell us if you already knew what the correct answer should be:,Mturkcode,correctjustification,FL_3 - Block Randomizer - Display Order
,,,,switch,stay|switch,,,,,,,Controlcondition
1,2,switch,stay|switch,,,3 doors in total,Switching the door changes the winning probability from 1/3 to 2/3. ,I was familiar with this game,I already knew what the correct answer should be,953378870,incorrect,Experimentalcondition
,,,,switch,stay|switch,3 doors in total,I wanted to choose an alternate door.,I was not familiar with this game,I did not already know what the correct answer should be,287445305,incorrect,Controlcondition
1.5,1.5,switch,switch|stay,,,3 doors in total,"I did recall that I've learned the solution before and that it was very counterintuitive. Nevertheless, I tried to figure out the probabilities. ",I was familiar with this game,I already knew what the correct answer should be,478493696,incorrect,Experimentalcondition
,,,,stay,switch|stay,3 doors in total,"It was a fifty-fifty chance either way, and I'd be happy with a goat or a car so both decisions would have worked out!",I was not familiar with this game,I did not already know what the correct answer should be,410377878,incorrect,Controlcondition
,,,,switch,switch|stay,3 doors in total,I wanted to get the better outcome based on the instructions,I was not familiar with this game,I did not already know what the correct answer should be,802515429,incorrect,Controlcondition
1,2,switch,switch|stay,,,3 doors in total,It's a 1 in 3 if you stay with original door. But if you switch after seeing which door is not it then it's better odds of 1 in 2,I was not familiar with this game,I did not already know what the correct answer should be,999335450,incorrect,Experimentalcondition
,,,,switch,switch|stay,3 doors in total,I started to think that I had made a wrong choice and that two goats probably wouldn't be next to each other.,I was familiar with this game,I did not already know what the correct answer should be,622481221,incorrect,Controlcondition
,,,,stay,switch|stay,3 doors in total,The thought that one of the doors was already a dud so my door's chances of being good are higher now.  I should thus stay.,I was familiar with this game,I did not already know what the correct answer should be,810159609,incorrect,Controlcondition
2,2,stay,switch|stay,,,3 doors in total,I was thinking if the chances i had were the same if i were to stay with my first choice.,I was not familiar with this game,I did not already know what the correct answer should be,898844963,incorrect,Experimentalcondition
,,,,switch,switch|stay,1 door in total,best think in mind,I was familiar with this game,I already knew what the correct answer should be,747316931,incorrect,Controlcondition
,,,,stay,switch|stay,3 doors in total,Whether to trust my gut instinct.,I was not familiar with this game,I did not already know what the correct answer should be,474858484,incorrect,Controlcondition
1,2,switch,switch|stay,,,3 doors in total,I had very little understanding in the directions of the game so my decisions were really random.,I was not familiar with this game,I did not already know what the correct answer should be,883040006,incorrect,Experimentalcondition
1,2,switch,stay|switch,,,3 doors in total,I was thinking of all of the different aspects of the game.,I was not familiar with this game,I did not already know what the correct answer should be,275379151,incorrect,Experimentalcondition
,,,,stay,stay|switch,3 doors in total,Hard to go back from the choice. Now its a 50/50 chance and I think my intial choice will win. I at least decided for myself.,I was familiar with this game,I did not already know what the correct answer should be,841669662,incorrect,Controlcondition
2,1,switch,switch|stay,,,3 doors in total,I have think more and choose this option.,I was not familiar with this game,I did not already know what the correct answer should be,702605306,incorrect,Experimentalcondition
,,,,stay,switch|stay,3 doors in total,I had a 50/50 chance of picking the correct door. ,I was not familiar with this game,I did not already know what the correct answer should be,268465791,incorrect,Controlcondition
1,1,stay,stay|switch,,,3 doors in total,I made my decision based on the mindset of the contestant. I would want them to think about their choice carefully.,I was not familiar with this game,I did not already know what the correct answer should be,252417182,incorrect,Experimentalcondition
,,,,switch,switch|stay,3 doors in total,"I remember this from a movie.  You're supposed to switch, somethinig about an extra 33%.",I was familiar with this game,I already knew what the correct answer should be,925055896,incorrect,Controlcondition
,,,,stay,switch|stay,3 doors in total,"My odds are 50/50 that I'm going to win a car, switching is not going to change that.",I was familiar with this game,I did not already know what the correct answer should be,936099591,incorrect,Controlcondition
1,1,switch,stay|switch,,,3 doors in total,With the monty hall thing you switch to raise your chances. It is a well known thing.,I was familiar with this game,I already knew what the correct answer should be,470925894,incorrect,Experimentalcondition
1,1,stay,switch|stay,,,3 doors in total,The chances are going to be the same either way if there's always going to be a goat reveal on one of the doors.  There's no sure strategy to win if it's a truly random game so I just went with 1/3.,I was familiar with this game,I did not already know what the correct answer should be,782712130,incorrect,Experimentalcondition
,,,,stay,switch|stay,3 doors in total,I knew I didn't have the goat and I felt if I chose door number two that I would wind up wishing I stayed with door number one.,I was familiar with this game,I did not already know what the correct answer should be,775651612,incorrect,Controlcondition
,,,,stay,switch|stay,3 doors in total,I went with my gut so i did not want to change it .If i screwed up my orioiginal choice by switchng I would be more angry at myself ,I was familiar with this game,I did not already know what the correct answer should be,801328281,incorrect,Controlcondition
,,,,stay,stay|switch,3 doors in total,"It was a 50/50 decision - either door could have had the car behind, but there was no way of knowing which, so there didn't seem any point in changing from the door originally chosen. ",I was not familiar with this game,I did not already know what the correct answer should be,401365183,incorrect,Controlcondition
