StartDate,EndDate,,,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,,,DistributionChannel,UserLanguage,Q7,Q9,Q10,Q10_DO,Q20,Q20_DO,Q28,Q14,Q15,Q16,Q18,FL_3_DO
Start Date,End Date,,,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,,,Distribution Channel,User Language,... if she/he stays with the first choice (door 1)?  In ____ out of 3 cases (Fill in the blank below),... if she/he switches to the last remaining door?  In ____ out of 3 cases (Fill in the blank below),What should the contestant therefore do?,What should the contestant therefore do? - Display Order,"After Monty Hall has opened a ""goat-door,"" what should you do?","After Monty Hall has opened a ""goat-door,"" what should you do? - Display Order","Important



Please also tell us in writing what went on in your head when you made your decision.",Please also tell us if you were already familiar with this game:,Please also tell us if you already knew what the correct answer should be:,Was this survey clear and comprehensible?,Do you have any comments about this survey or about how to improve it?,FL_3 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",,,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",,,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_DO""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_DO""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""FL_3_DO""}"
10/31/2018 13:59,10/31/2018 13:59,,,100,40,TRUE,10/31/2018 13:59,R_32Lchz79GE1lGsg,,,,,,,anonymous,EN,,,,,switch,switch|stay,Probability theory went on in my head. Bayes's rule.,I was familiar with this game,I already knew what the correct answer should be,Clear and comprehensible,Nah,Controlcondition
10/31/2018 14:00,10/31/2018 14:01,,,100,35,TRUE,10/31/2018 14:01,R_SVu22To5pf6q1EZ,,,,,,,anonymous,EN,1,2,switch,switch|stay,,,Mental models,I was familiar with this game,I already knew what the correct answer should be,Clear and comprehensible,No.,Experimentalcondition
10/31/2018 14:40,10/31/2018 14:43,,,100,196,TRUE,10/31/2018 14:43,R_1dcBJawlNeAhZm9,,,,,,,anonymous,EN,,,,,stay,stay|switch,Go with your gut ,I was not familiar with this game,I did not already know what the correct answer should be,Clear and comprehensible,,Controlcondition
10/31/2018 15:04,10/31/2018 15:11,,,100,411,TRUE,10/31/2018 15:11,R_AbMwGtyFDJkcTgB,,,,,,,anonymous,EN,,,,,stay,switch|stay,"Whether or not the door I chose is the right one or not, the odds off winning have improved by 50% regardless of whether I chose to stay or switch. So I could just as well have chosen 'switch'.",I was not familiar with this game,I did not already know what the correct answer should be,Clear and comprehensible,I had to study the instructions quite closely to get it; may be it could be improved.,Controlcondition
10/31/2018 15:11,10/31/2018 15:12,,,100,117,TRUE,10/31/2018 15:12,R_2S1cpRcwmP6r7fD,,,,,,,anonymous,EN,,,,,switch,stay|switch,"I had a 1/3 chance of being right the first time. Then, when he showed me which of the other doors held a goat, I had a 2/3 chance that the other door held a car, so I switched doors.",I was familiar with this game,I already knew what the correct answer should be,Clear and comprehensible,,Controlcondition
10/31/2018 15:30,10/31/2018 15:34,,,100,266,TRUE,10/31/2018 15:34,R_1ffqFux5uELc4AB,,,,,,,anonymous,EN,,,,,stay,stay|switch,This doughnut is delicious and I'm finding it hard to concentrate.,I was not familiar with this game,I did not already know what the correct answer should be,Not clear and comprehensible,,Controlcondition
10/31/2018 15:31,10/31/2018 15:35,,,100,228,TRUE,10/31/2018 15:35,R_WBzbPmiKBEyi3Hr,,,,,,,anonymous,EN,1,2,switch,stay|switch,,,"I carefully read through the question to make sure it was the game I was familiar with, looking for differences.  Then I thought carefully about each of the three cases to ensure that my memory served me right.",I was familiar with this game,I already knew what the correct answer should be,Clear and comprehensible,,Experimentalcondition
10/31/2018 15:13,10/31/2018 15:35,,,100,1342,TRUE,10/31/2018 15:35,R_2TzvehNiM3QlH1x,,,,,,,anonymous,EN,,,,,switch,switch|stay,,I was familiar with this game,I already knew what the correct answer should be,Clear and comprehensible,,Controlcondition
